# Analysis

Looking at the performance history:

1. **Seed (single block, CZ-chain)**: Score 0.72, PE=0.07, depth=35, n_params=14
2. **Seed doubled (two blocks, CZ-chain)**: Score 0.72, PE=0.07, depth=65, n_params=14
3. **Current (single block, XX-chain)**: Score 0.68, PE=0.05, depth=35, n_params=20

## Key Observations

- The **CZ-based architecture achieves 0.72** with excellent parameter efficiency (PE=0.07, 14 params)
- The **XX-based architecture scores 0.68** but uses more parameters (20) and lower PE (0.05)
- The doubled CZ-chain maintained the 0.72 score despite double depth, suggesting the architecture is robust to depth increases
- Parameter economy is heavily weighted in the score

## Recommendation Strategy

The current XX-chain variant has underperformed. The most promising path forward, given the recommendation to "append a third CZ-sandwich block," is to:

1. **Return to CZ-chain** (proven to reach 0.72)
2. **Stack it three times** (as recommended) to test if further depth improves beyond 0.72
3. **Keep parameter sharing** at just 2 parameters (ry_shared, rz_shared) for maximum parameter efficiency

This approach:
- Maintains the winning architecture (CZ-chain)
- Tests the hypothesis that tripled depth + minimal parameters can exceed 0.72
- Stays within reasonable computational bounds
- Maximizes parameter efficiency (PE should remain ≤0.07)

<NAME>
triple_cz_sandwich_stack
</NAME>

<DESCRIPTION>
Return to the proven CZ-chain architecture and stack it three times with shared parameters (ry_shared and rz_shared only). The first two blocks already achieved score 0.72; this tests whether a third identical block at constant parameter count can push beyond that threshold. The CZ interactions are more efficient than XX in this problem space, and aggressive parameter sharing (2 params across all 8 qubits, 3 blocks = 186 gates) maximizes the parameter_efficiency metric that dominates the combined score.
</DESCRIPTION>

<DIFF>
<<<<<<< SEARCH
ANSATZ_SPEC = [
    {"gate": "RY", "wire": 0, "param": "ry_shared"},
    {"gate": "RY", "wire": 1, "param": "ry_shared"},
    {"gate": "RY", "wire": 2, "param": "ry_shared"},
    {"gate": "RY", "wire": 3, "param": "ry_shared"},
    {"gate": "RY", "wire": 4, "param": "ry_shared"},
    {"gate": "RY", "wire": 5, "param": "ry_shared"},
    {"gate": "RY", "wire": 6, "param": "ry_shared"},
    {"gate": "RY", "wire": 7, "param": "ry_shared"},
    {"gate": "RZ", "wire": 0, "param": "rz_shared"},
    {"gate": "RZ", "wire": 1, "param": "rz_shared"},
    {"gate": "RZ", "wire": 2, "param": "rz_shared"},
    {"gate": "RZ", "wire": 3, "param": "rz_shared"},
    {"gate": "RZ", "wire": 4, "param": "rz_shared"},
    {"gate": "RZ", "wire": 5, "param": "rz_shared"},
    {"gate": "RZ", "wire": 6, "param": "rz_shared"},
    {"gate": "RZ", "wire": 7, "param": "rz_shared"},
    {"gate": "XX", "wires": [0, 1], "param": "xx_shared"},
    {"gate": "XX", "wires": [1, 2], "param": "xx_shared"},
    {"gate": "XX", "wires": [2, 3], "param": "xx_shared"},
    {"gate": "XX", "wires": [3, 4], "param": "xx_shared"},
    {"gate": "XX", "wires": [4, 5], "param": "xx_shared"},
    {"gate": "XX", "wires": [5, 6], "param": "xx_shared"},
    {"gate": "XX", "wires": [6, 7], "param": "xx_shared"},
    {"gate": "RZ", "wire": 0, "param": "rz_shared"},
    {"gate": "RZ", "wire": 1, "param": "rz_shared"},
    {"gate": "RZ", "wire": 2, "param": "rz_shared"},
    {"gate": "RZ", "wire": 3, "param": "rz_shared"},
    {"gate": "RZ", "wire": 4, "param": "rz_shared"},
    {"gate": "RZ", "wire": 5, "param": "rz_shared"},
    {"gate": "RZ", "wire": 6, "param": "rz_shared"},
    {"gate": "RZ", "wire": 7, "param": "rz_shared"},
]
=======
ANSATZ_SPEC = [
    # First block: [shared-RY] → [shared-RZ] → [CZ-chain] → [shared-RZ]
    {"gate": "RY", "wire": 0, "param": "ry_shared"},
    {"gate": "RY", "wire": 1, "param": "ry_shared"},
    {"gate": "RY", "wire": 2, "param": "ry_shared"},
    {"gate": "RY", "wire": 3, "param": "ry_shared"},
    {"gate": "RY", "wire": 4, "param": "ry_shared"},
    {"gate": "RY", "wire": 5, "param": "ry_shared"},
    {"gate": "RY", "wire": 6, "param": "ry_shared"},
    {"gate": "RY", "wire": 7, "param": "ry_shared"},
    {"gate": "RZ", "wire": 0, "param": "rz_shared"},
    {"gate": "RZ", "wire": 1, "param": "rz_shared"},
    {"gate": "RZ", "wire": 2, "param": "rz_shared"},
    {"gate": "RZ", "wire": 3, "param": "rz_shared"},
    {"gate": "RZ", "wire": 4, "param": "rz_shared"},
    {"gate": "RZ", "wire": 5, "param": "rz_shared"},
    {"gate": "RZ", "wire": 6, "param": "rz_shared"},
    {"gate": "RZ", "wire": 7, "param": "rz_shared"},
    {"gate": "CZ", "wires": [0, 1]},
    {"gate": "CZ", "wires": [1, 2]},
    {"gate": "CZ", "wires": [2, 3]},
    {"gate": "CZ", "wires": [3, 4]},
    {"gate": "CZ", "wires": [4, 5]},
    {"gate": "CZ", "wires": [5, 6]},
    {"gate": "CZ", "wires": [6, 7]},
    {"gate": "RZ", "wire": 0, "param": "rz_shared"},
    {"gate": "RZ", "wire": 1, "param": "rz_shared"},
    {"gate": "RZ", "wire": 2, "param": "rz_shared"},
    {"gate": "RZ", "wire": 3, "param": "rz_shared"},
    {"gate": "RZ", "wire": 4, "param": "rz_shared"},
    {"gate": "RZ", "wire": 5, "param": "rz_shared"},
    {"gate": "RZ", "wire": 6, "param": "rz_shared"},
    {"gate": "RZ", "wire": 7, "param": "rz_shared"},
    # Second block: identical structure, reusing same ry_shared and rz_shared
    {"gate": "RY", "wire": 0, "param": "ry_shared"},
    {"gate": "RY", "wire": 1, "param": "ry_shared"},
    {"gate": "RY", "wire": 2, "param": "ry_shared"},
    {"gate": "RY", "wire": 3, "param": "ry_shared"},
    {"gate": "RY", "wire": 4, "param": "ry_shared"},
    {"gate": "RY", "wire": 5, "param": "ry_shared"},
    {"gate": "RY", "wire": 6, "param": "ry_shared"},
    {"gate": "RY", "wire": 7, "param": "ry_shared"},
    {"gate": "RZ", "wire": 0, "param": "rz_shared"},
    {"gate": "RZ", "wire": 1, "param": "rz_shared"},
    {"gate": "RZ", "wire": 2, "param": "rz_shared"},
    {"gate": "RZ", "wire": 3, "param": "rz_shared"},
    {"gate": "RZ", "wire": 4, "param": "rz_shared"},
    {"gate": "RZ", "wire": 5, "param": "rz_shared"},
    {"gate": "RZ", "wire": 6, "param": "rz_shared"},
    {"gate": "RZ", "wire": 7, "param": "rz_shared"},
    {"gate": "CZ", "wires": [0, 1]},
    {"gate": "CZ", "wires": [1, 2]},
    {"gate": "CZ", "wires": [2, 3]},
    {"gate": "CZ", "wires": [3, 4]},
    {"gate": "CZ", "wires": [4, 5]},
    {"gate": "CZ", "wires": [5, 6]},
    {"gate": "CZ", "wires": [6, 7]},
    {"gate": "RZ", "wire": 0, "param": "rz_shared"},
    {"gate": "RZ", "wire": 1, "param": "rz_shared"},
    {"gate": "RZ", "wire": 2, "param": "rz_shared"},
    {"gate": "RZ", "wire": 3, "param": "rz_shared"},
    {"gate": "RZ", "wire": 4, "param": "rz_shared"},
    {"gate": "RZ", "wire": 5, "param": "rz_shared"},
    {"gate": "RZ", "wire": 6, "param": "rz_shared"},
    {"gate": "RZ", "wire": 7, "param": "rz_shared"},
    # Third block: identical structure, reusing same ry_shared and rz_shared
    {"gate": "RY", "wire": 0, "param": "ry_shared"},
    {"gate": "RY", "wire": 1, "param": "ry_shared"},
    {"gate": "RY", "wire": 2, "param": "ry_shared"},
    {"gate": "RY", "wire": 3, "param": "ry_shared"},
    {"gate": "RY", "wire": 4, "param": "ry_shared"},
    {"gate": "RY", "wire": 5, "param": "ry_shared"},
    {"gate": "RY", "wire": 6, "param": "ry_shared"},
    {"gate": "RY", "wire": 7, "param": "ry_shared"},
    {"gate": "RZ", "wire": 0, "param": "rz_shared"},
    {"gate": "RZ", "wire": 1, "param": "rz_shared"},
    {"gate": "RZ", "wire": 2, "param": "rz_shared"},
