<NAME>
tie_mixers_reduce_params
</NAME>

<DESCRIPTION>
The previous candidate dramatically increased accuracy and expressivity by introducing a mid-circuit mixer that breaks the commutativity of the full 28-CZ complete graph, splitting it into a 16-edge half and a 12-edge half. However, it introduced two new parameters per block (`mid_ry` and `mid_rx`), bringing the total parameter count to 38 and limiting the parameter efficiency score.

We can improve the parameter efficiency by tying the parameters of the mid-circuit mixer to those of the input mixer (`collective_ry` -> `mix_ry`, `collective_rx_in` -> `mix_rx`, etc.). Applying the same rotational unitary twice (interleaved by different non-commuting diagonal CZ layers) still perfectly breaks commutativity and provides deep state evolution, but it halves the parameters needed for the mixing layers. We also rename the output parameters for consistency (`out_rz`, `out_rx`).

This reduces the block parameters from 6 to 4, dropping total parameters from 38 to 26, which significantly boosts the parameter efficiency metric while preserving the exact same powerful entangling structure and depth.
</DESCRIPTION>

<DIFF>
<<<<<<< SEARCH
ANSATZ_SPEC = [
    # Two-axis input mixer (proven effective in the 0.98-scoring prior).
    {"gate": "RY", "wire": 0, "param": "collective_ry"},
    {"gate": "RY", "wire": 1, "param": "collective_ry"},
    {"gate": "RY", "wire": 2, "param": "collective_ry"},
    {"gate": "RY", "wire": 3, "param": "collective_ry"},
    {"gate": "RY", "wire": 4, "param": "collective_ry"},
    {"gate": "RY", "wire": 5, "param": "collective_ry"},
    {"gate": "RY", "wire": 6, "param": "collective_ry"},
    {"gate": "RY", "wire": 7, "param": "collective_ry"},

    {"gate": "RX", "wire": 0, "param": "collective_rx_in"},
    {"gate": "RX", "wire": 1, "param": "collective_rx_in"},
    {"gate": "RX", "wire": 2, "param": "collective_rx_in"},
    {"gate": "RX", "wire": 3, "param": "collective_rx_in"},
    {"gate": "RX", "wire": 4, "param": "collective_rx_in"},
    {"gate": "RX", "wire": 5, "param": "collective_rx_in"},
    {"gate": "RX", "wire": 6, "param": "collective_rx_in"},
    {"gate": "RX", "wire": 7, "param": "collective_rx_in"},

    # First half of complete-graph CZ: matchings 1-4 (16 edges).
    # These CZ gates commute; the mid-mixer below breaks this commutativity
    # with respect to the second half, doubling effective entangling depth.
    {"gate": "CZ", "wires": [0, 1]},
    {"gate": "CZ", "wires": [2, 3]},
    {"gate": "CZ", "wires": [4, 5]},
    {"gate": "CZ", "wires": [6, 7]},

    {"gate": "CZ", "wires": [0, 2]},
    {"gate": "CZ", "wires": [1, 3]},
    {"gate": "CZ", "wires": [4, 6]},
    {"gate": "CZ", "wires": [5, 7]},

    {"gate": "CZ", "wires": [0, 3]},
    {"gate": "CZ", "wires": [1, 2]},
    {"gate": "CZ", "wires": [4, 7]},
    {"gate": "CZ", "wires": [5, 6]},

    {"gate": "CZ", "wires": [0, 4]},
    {"gate": "CZ", "wires": [1, 5]},
    {"gate": "CZ", "wires": [2, 6]},
    {"gate": "CZ", "wires": [3, 7]},

    # Mid-circuit two-axis mixer: breaks CZ commutativity between the two
    # halves, dramatically increasing the expressivity of the entangling
    # block with only two additional shared parameters.
    {"gate": "RY", "wire": 0, "param": "mid_ry"},
    {"gate": "RY", "wire": 1, "param": "mid_ry"},
    {"gate": "RY", "wire": 2, "param": "mid_ry"},
    {"gate": "RY", "wire": 3, "param": "mid_ry"},
    {"gate": "RY", "wire": 4, "param": "mid_ry"},
    {"gate": "RY", "wire": 5, "param": "mid_ry"},
    {"gate": "RY", "wire": 6, "param": "mid_ry"},
    {"gate": "RY", "wire": 7, "param": "mid_ry"},

    {"gate": "RX", "wire": 0, "param": "mid_rx"},
    {"gate": "RX", "wire": 1, "param": "mid_rx"},
    {"gate": "RX", "wire": 2, "param": "mid_rx"},
    {"gate": "RX", "wire": 3, "param": "mid_rx"},
    {"gate": "RX", "wire": 4, "param": "mid_rx"},
    {"gate": "RX", "wire": 5, "param": "mid_rx"},
    {"gate": "RX", "wire": 6, "param": "mid_rx"},
