<NAME>
even_odd_ring_cross
</NAME>

<DESCRIPTION>
This edit cuts the circuit parameter count sharply while keeping the classifier expressive enough for the re-uploading schedule.

Key ideas:
- Use shared even/odd parameters for RX and RY layers, which reduces the per-block trainable degrees of freedom from the current pairwise scheme.
- Keep a full CZ ring for local propagation.
- Add a long-range CZ cross pattern to improve global mixing across the 8-qubit register.

This should improve combined score by lowering model size and depth pressure without removing the entangling structure needed for the binary feature task.
</DESCRIPTION>

<DIFF>
<<<<<<< SEARCH
ANSATZ_SPEC = [
    # RY layer with pair-wise parameter sharing (qubits 0-1, 2-3, 4-5, 6-7)
    {"gate": "RY", "wire": 0, "param": "ry_pair_01"},
    {"gate": "RY", "wire": 1, "param": "ry_pair_01"},
    {"gate": "RY", "wire": 2, "param": "ry_pair_23"},
    {"gate": "RY", "wire": 3, "param": "ry_pair_23"},
    {"gate": "RY", "wire": 4, "param": "ry_pair_45"},
    {"gate": "RY", "wire": 5, "param": "ry_pair_45"},
    {"gate": "RY", "wire": 6, "param": "ry_pair_67"},
    {"gate": "RY", "wire": 7, "param": "ry_pair_67"},
    # RZ pre-layer with pair-wise parameter sharing for better expressiveness
    {"gate": "RZ", "wire": 0, "param": "rz_pre_01"},
    {"gate": "RZ", "wire": 1, "param": "rz_pre_01"},
    {"gate": "RZ", "wire": 2, "param": "rz_pre_23"},
    {"gate": "RZ", "wire": 3, "param": "rz_pre_23"},
    {"gate": "RZ", "wire": 4, "param": "rz_pre_45"},
    {"gate": "RZ", "wire": 5, "param": "rz_pre_45"},
    {"gate": "RZ", "wire": 6, "param": "rz_pre_67"},
    {"gate": "RZ", "wire": 7, "param": "rz_pre_67"},
    # Linear CZ entanglement chain for nearest-neighbor connectivity
    {"gate": "CZ", "wires": [0, 1]},
    {"gate": "CZ", "wires": [1, 2]},
    {"gate": "CZ", "wires": [2, 3]},
    {"gate": "CZ", "wires": [3, 4]},
    {"gate": "CZ", "wires": [4, 5]},
    {"gate": "CZ", "wires": [5, 6]},
    {"gate": "CZ", "wires": [6, 7]},
    # Complementary CZ entanglement for long-range connectivity
    {"gate": "CZ", "wires": [0, 2]},
    {"gate": "CZ", "wires": [1, 3]},
    {"gate": "CZ", "wires": [4, 6]},
    {"gate": "CZ", "wires": [5, 7]},
    # RZ post-layer with pair-wise parameter sharing
    {"gate": "RZ", "wire": 0, "param": "rz_post_01"},
    {"gate": "RZ", "wire": 1, "param": "rz_post_01"},
    {"gate": "RZ", "wire": 2, "param": "rz_post_23"},
    {"gate": "RZ", "wire": 3, "param": "rz_post_23"},
    {"gate": "RZ", "wire": 4, "param": "rz_post_45"},
    {"gate": "RZ", "wire": 5, "param": "rz_post_45"},
    {"gate": "RZ", "wire": 6, "param": "rz_post_67"},
    {"gate": "RZ", "wire": 7, "param": "rz_post_67"},
]
=======
ANSATZ_SPEC = [
    # Compact even/odd single-qubit mixing layers
    {"gate": "RX", "wire": 0, "param": "rx_even"},
    {"gate": "RX", "wire": 1, "param": "rx_odd"},
    {"gate": "RX", "wire": 2, "param": "rx_even"},
    {"gate": "RX", "wire": 3, "param": "rx_odd"},
    {"gate": "RX", "wire": 4, "param": "rx_even"},
    {"gate": "RX", "wire": 5, "param": "rx_odd"},
    {"gate": "RX", "wire": 6, "param": "rx_even"},
    {"gate": "RX", "wire": 7, "param": "rx_odd"},
    {"gate": "RY", "wire": 0, "param": "ry_even"},
    {"gate": "RY", "wire": 1, "param": "ry_odd"},
    {"gate": "RY", "wire": 2, "param": "ry_even"},
    {"gate": "RY", "wire": 3, "param": "ry_odd"},
    {"gate": "RY", "wire": 4, "param": "ry_even"},
    {"gate": "RY", "wire": 5, "param": "ry_odd"},
    {"gate": "RY", "wire": 6, "param": "ry_even"},
    {"gate": "RY", "wire": 7, "param": "ry_odd"},
    # Local ring entanglement to spread feature-map phases
    {"gate": "CZ", "wires": [0, 1]},
    {"gate": "CZ", "wires": [1, 2]},
    {"gate": "CZ", "wires": [2, 3]},
    {"gate": "CZ", "wires": [3, 4]},
    {"gate": "CZ", "wires": [4, 5]},
    {"gate": "CZ", "wires": [5, 6]},
    {"gate": "CZ", "wires": [6, 7]},
    {"gate": "CZ", "wires": [7, 0]},
    # Long-range cross-links to improve global qubit mixing
    {"gate": "CZ", "wires": [0, 4]},
    {"gate": "CZ", "wires": [1, 5]},
    {"gate": "CZ", "wires": [2, 6]},
    {"gate": "CZ", "wires": [3, 7]},
]
>>>>>>> REPLACE
</DIFF>
